NOMBDEP,internet_si,internet_no,celinter_si,celinter_no,internet_total,celinter_total
AMAZONAS,99,549,339,309,648,648
ANCASH,327,554,583,298,881,881
APURIMAC,180,544,402,322,724,724
AREQUIPA,294,531,531,294,825,825
AYACUCHO,178,711,434,455,889,889
CAJAMARCA,202,560,461,301,762,762
CALLAO,996,480,932,544,1476,1476
CUSCO,203,495,378,320,698,698
HUANCAVELICA,146,717,487,376,863,863
HUANUCO,194,532,326,400,726,726
ICA,299,374,474,199,673,673
JUNIN,227,482,354,355,709,709
LA LIBERTAD,350,516,522,344,866,866
LAMBAYEQUE,223,423,329,317,646,646
LIMA,1905,1175,1987,1093,3080,3080
LORETO,55,528,364,219,583,583
MADRE DE DIOS,177,514,439,252,691,691
MOQUEGUA,332,472,673,131,804,804
PASCO,122,533,263,392,655,655
PIURA,231,699,588,342,930,930
PUNO,141,757,509,389,898,898
SAN MARTIN,156,451,344,263,607,607
TACNA,401,405,641,165,806,806
TUMBES,161,489,385,265,650,650
UCAYALI,124,448,384,188,572,572
