NOMBDEP,CANT_LECTURA,PRACTICA_LECTURA,IDIOMA,PERS_NRO,ESTRATOSOCIO
AMAZONAS,605,67.9741422888448,10,3.73318875779337,16.1320613852259
ANCASH,909,76.9591331094009,10,3.83510966661622,13.4120163311095
APURIMAC,607,84.8992072314238,10,3.57892255814368,17.8601888603964
AREQUIPA,757,74.7116247203424,10,3.85513127845109,17.414565383817
AYACUCHO,830,76.6524380124011,10,3.64088900809575,6.93829914976366
CAJAMARCA,771,75.1392330442593,10,3.73817212656322,9.26259082877489
CALLAO,1394,76.5121699940624,10,3.89831758702797,61.8526321058839
CUSCO,557,57.5552055602824,10,3.75312578973186,13.6421640049901
HUANCAVELICA,924,72.5010815004614,10,3.88815227459823,16.0769343526503
HUANUCO,783,58.8710189266806,10,3.78340547456423,14.6397815942911
ICA,646,41.0411614096066,10,3.81613491582371,22.1636265547535
JUNIN,626,80.2721879327659,10,3.7415518873646,15.9934675241851
LA LIBERTAD,707,58.0544863958019,10,3.71006104223551,17.8538253334269
LAMBAYEQUE,667,87.4422577284446,10,3.97006236730648,21.7203333839234
LIMA,2541,75.3815128969202,10,3.72400627228676,32.6746927822883
LORETO,883,54.8909779830646,10,4.13751154235659,12.5601572972655
MADRE DE DIOS,787,76.6956840385822,10,3.67720566433407,9.15555555555556
MOQUEGUA,582,77.079309927928,10,3.75604477239213,18.3673128820742
PASCO,579,80.8825932515581,10,3.57891441588955,24.8928846951157
PIURA,1063,79.2585474928255,10,3.93375440675651,20.0598744135406
PUNO,799,33.1479425248798,10,3.54906454493742,11.0854679673748
SAN MARTIN,635,76.4132776277672,10,3.80198090114773,24.0144038675097
TACNA,626,67.4993164401334,10,3.63745142436186,9.6666287816168
TUMBES,680,83.1976845812675,10,3.77778444045783,16.0327845096832
UCAYALI,816,90.9989531041253,10,4.16544215794587,9.15757073172268
