NOMBDEP,edu_leer,cedu_infra,cedu_equipo,cedu_ensenanza,cedu_material,cedu_partpadres,cant_edu,internet_si,internet_no,celinter_si,celinter_no,internet_total,celinter_total,CANT_LECTURA,PRACTICA_LECTURA,IDIOMA,PERS_NRO,ESTRATOSOCIO,viv_agua,viv_elec,cant_vivienda
AMAZONAS,79.8119601538958,0.849661925609825,0.803823198923909,0.946478014002953,0.886258459164905,0.923577244546505,489,99,549,339,309,648,648,605,67.9741422888448,10,3.73318875779337,16.1320613852259,88.8594630532665,92.5007546529862,1078
ANCASH,73.1557555104669,0.902464701550961,0.84175234009776,0.916712400288927,0.947925697024146,0.935051877237611,433,327,554,583,298,881,881,909,76.9591331094009,10,3.83510966661622,13.4120163311095,94.9551080826244,96.5705319105882,1288
APURIMAC,70.7234432234432,0.77636217948718,0.773126526251526,0.870257173382173,0.916475885225885,0.857148580586081,225,180,544,402,322,724,724,607,84.8992072314238,10,3.57892255814368,17.8601888603964,97.7410389747851,95.5105633684707,904
AREQUIPA,89.5820625729649,0.822706262318052,0.692602473410051,0.82651255863058,0.799235120493221,0.733237350676907,424,294,531,531,294,825,825,757,74.7116247203424,10,3.85513127845109,17.414565383817,84.6159298138367,98.4147353552074,1332
AYACUCHO,67.7644269310936,0.824773639059353,0.83334139405568,0.919425371806324,0.922549760644999,0.729858721525388,338,178,711,434,455,889,889,830,76.6524380124011,10,3.64088900809575,6.93829914976366,94.0698978810771,93.9705550521706,1054
CAJAMARCA,86.4340168659747,0.796453083547026,0.79506926494635,0.901368758546107,0.931467850265041,0.954132164294587,425,202,560,461,301,762,762,771,75.1392330442593,10,3.73817212656322,9.26259082877489,87.1356612096258,92.0794552270348,1321
CALLAO,86.752739581687,0.916125335862178,0.883412180122706,0.927297033875981,0.857691543217859,0.854560481534166,322,996,480,932,544,1476,1476,1394,76.5121699940624,10,3.89831758702797,61.8526321058839,97.9177292648348,99.7249004013566,979
CUSCO,78.24565899269,0.857960791253502,0.827269457434101,0.896820517147433,0.879854580285615,0.8216914951338,330,203,495,378,320,698,698,557,57.5552055602824,10,3.75312578973186,13.6421640049901,96.4793689273114,93.1074166598773,1141
HUANCAVELICA,81.1038093320427,0.754046554353093,0.747242697395416,0.838940678477139,0.838341867399859,0.822484288758717,325,146,717,487,376,863,863,924,72.5010815004614,10,3.88815227459823,16.0769343526503,87.5754973201402,94.4498539159254,923
HUANUCO,75.8098615064559,0.873211562054994,0.88305709516457,0.910103673416367,0.942440054171589,0.879899243057138,449,194,532,326,400,726,726,783,58.8710189266806,10,3.78340547456423,14.6397815942911,91.6799692252024,94.9210702962458,993
ICA,90.0612807230454,0.912922946501378,0.907374262153674,0.980055948805949,0.968063298210357,0.900154266024364,446,299,374,474,199,673,673,646,41.0411614096066,10,3.81613491582371,22.1636265547535,60.1851694025615,99.1086245574608,1370
JUNIN,73.9352100705789,0.879135846565653,0.811670949541666,0.91385961188139,0.911047933624532,0.89289004328825,418,227,482,354,355,709,709,626,80.2721879327659,10,3.7415518873646,15.9934675241851,92.9355583156179,95.692761350647,1371
LA LIBERTAD,71.3356756565136,0.79566486289571,0.758359985119147,0.926083094081177,0.899666670383752,0.778610691896349,521,350,516,522,344,866,866,707,58.0544863958019,10,3.71006104223551,17.8538253334269,79.3553237991016,97.2715125339976,1401
LAMBAYEQUE,79.5680190996738,0.865641702532731,0.796674140598392,0.94932269067124,0.859450912140304,0.94712015703869,459,223,423,329,317,646,646,667,87.4422577284446,10,3.97006236730648,21.7203333839234,91.4257258974343,98.427500186303,1310
LIMA,86.5909999547275,0.870992011070231,0.799833823059985,0.918919292235439,0.9030139802985,0.889137779572796,1134,1905,1175,1987,1093,3080,3080,2541,75.3815128969202,10,3.72400627228676,32.6746927822883,89.1321350245461,98.1667327257135,4159
LORETO,57.9796814128358,0.812110561667268,0.803153324106136,0.916288616567371,0.91728868161599,0.918571502778552,789,55,528,364,219,583,583,883,54.8909779830646,10,4.13751154235659,12.5601572972655,73.3677198463312,81.5258561688064,813
MADRE DE DIOS,80.1348224190445,0.722148502343665,0.668473628259225,0.851536646726311,0.818387397221922,0.800074801504158,221,177,514,439,252,691,691,787,76.6956840385822,10,3.67720566433407,9.15555555555556,90.0292703742114,96.1150818773745,479
MOQUEGUA,84.8414859541394,0.900323726536468,0.873819992106082,0.875160218702007,0.915513256468838,0.712165394025417,173,332,472,673,131,804,804,582,77.079309927928,10,3.75604477239213,18.3673128820742,95.3867406201202,95.3979477123414,933
PASCO,73.3798654504537,0.820729201082142,0.771929373458785,0.91216916852211,0.862971438147909,0.893190404366875,334,122,533,263,392,655,655,579,80.8825932515581,10,3.57891441588955,24.8928846951157,87.608779552407,91.668343341565,670
PIURA,81.4701367231426,0.81199773661669,0.851219446116508,0.920732854040217,0.955200165461182,0.881338921577035,657,231,699,588,342,930,930,1063,79.2585474928255,10,3.93375440675651,20.0598744135406,59.2587269998968,96.3921984142944,1440
PUNO,87.9614061533704,0.873220566635745,0.733390505823541,0.881322472170687,0.901707122242837,0.855032145433931,260,141,757,509,389,898,898,799,33.1479425248798,10,3.54906454493742,11.0854679673748,86.3330963912879,91.971842511726,762
SAN MARTIN,72.9819671456406,0.814112381550637,0.799208465226462,0.935328422583235,0.952277841138536,0.930850325418289,516,156,451,344,263,607,607,635,76.4132776277672,10,3.80198090114773,24.0144038675097,92.176275059137,94.0190154481368,1187
TACNA,89.3003309557486,0.855519218458627,0.706759459101578,0.84294753879073,0.77289475371039,0.664672434776668,313,401,405,641,165,806,806,626,67.4993164401334,10,3.63745142436186,9.6666287816168,87.3396506695445,97.174837912633,1219
TUMBES,78.8903360244187,0.883640910299279,0.913350236982124,0.9809917607239,0.991923377169279,0.969101666018655,283,161,489,385,265,650,650,680,83.1976845812675,10,3.77778444045783,16.0327845096832,48.5118232411716,97.6353863075447,730
UCAYALI,61.003121570287,0.923102880116407,0.685033881401443,0.947981904406694,0.939186687984055,0.969781411387232,551,124,448,384,188,572,572,816,90.9989531041253,10,4.16544215794587,9.15757073172268,91.8370353509527,90.0215037177919,864
