NOMBDEP,edu_leer,cedu_infra,cedu_equipo,cedu_ensenanza,cedu_material,cedu_partpadres,cant_edu,internet_si,internet_no,celinter_si,celinter_no,internet_total,celinter_total,tasa_internet,tasa_celinter,IDIOMA,PERS_NRO,leen_si,leen_no,leen_total,tasa_leer,agua_si,agua_no,elec_si,elec_no,agua_total,elec_total,tasa_agua,tasa_elec,UBIGEO
AMAZONAS,79.8119601538958,0.849661925609825,0.803823198923909,0.946478014002953,0.886258459164905,0.923577244546505,489,99,549,339,309,648,648,15.2777777777778,52.3148148148148,10,3.73318875779337,308,297,605,50.9090909090909,878,200,996,82,1078,1078,81.4471243042672,92.3933209647495,01
ANCASH,73.1557555104669,0.902464701550961,0.84175234009776,0.916712400288927,0.947925697024146,0.935051877237611,433,327,554,583,298,881,881,37.116912599319,66.1748013620885,10,3.83510966661622,609,300,909,66.996699669967,1238,49,1260,28,1287,1288,96.1926961926962,97.8260869565217,02
APURIMAC,70.7234432234432,0.77636217948718,0.773126526251526,0.870257173382173,0.916475885225885,0.857148580586081,225,180,544,402,322,724,724,24.8618784530387,55.524861878453,10,3.57892255814368,399,208,607,65.7331136738056,880,24,872,32,904,904,97.3451327433628,96.4601769911504,03
AREQUIPA,89.5820625729649,0.822706262318052,0.692602473410051,0.82651255863058,0.799235120493221,0.733237350676907,424,294,531,531,294,825,825,35.6363636363636,64.3636363636364,10,3.85513127845109,445,312,757,58.7846763540291,1182,150,1314,18,1332,1332,88.7387387387387,98.6486486486486,04
AYACUCHO,67.7644269310936,0.824773639059353,0.83334139405568,0.919425371806324,0.922549760644999,0.729858721525388,338,178,711,434,455,889,889,20.0224971878515,48.8188976377953,10,3.64088900809575,527,303,830,63.4939759036145,1004,50,1008,46,1054,1054,95.2561669829222,95.6356736242884,05
CAJAMARCA,86.4340168659747,0.796453083547026,0.79506926494635,0.901368758546107,0.931467850265041,0.954132164294587,425,202,560,461,301,762,762,26.509186351706,60.498687664042,10,3.73817212656322,400,371,771,51.8806744487679,1153,168,1249,72,1321,1321,87.2823618470856,94.549583648751,06
CALLAO,86.752739581687,0.916125335862178,0.883412180122706,0.927297033875981,0.857691543217859,0.854560481534166,322,996,480,932,544,1476,1476,67.479674796748,63.1436314363144,10,3.89831758702797,889,505,1394,63.7733142037303,954,25,973,6,979,979,97.4463738508682,99.3871297242084,07
CUSCO,78.24565899269,0.857960791253502,0.827269457434101,0.896820517147433,0.879854580285615,0.8216914951338,330,203,495,378,320,698,698,29.0830945558739,54.1547277936963,10,3.75312578973186,250,307,557,44.8833034111311,1078,63,1094,47,1141,1141,94.478527607362,95.8808063102542,08
HUANCAVELICA,81.1038093320427,0.754046554353093,0.747242697395416,0.838940678477139,0.838341867399859,0.822484288758717,325,146,717,487,376,863,863,16.9177288528389,56.4310544611819,10,3.88815227459823,535,389,924,57.9004329004329,820,103,882,41,923,923,88.8407367280607,95.557963163597,09
HUANUCO,75.8098615064559,0.873211562054994,0.88305709516457,0.910103673416367,0.942440054171589,0.879899243057138,449,194,532,326,400,726,726,26.7217630853995,44.9035812672176,10,3.78340547456423,356,427,783,45.4661558109834,888,103,955,38,991,993,89.606458123108,96.1732124874119,10
