NOMBPROV,edu_leer,cedu_infra,cedu_equipo,cedu_ensenanza,cedu_material,cedu_partpadres,cant_edu
ABANCAY,57.9166666666667,0.4625,0.625,0.845833333333333,0.95,0.8,48
ACOBAMBA,71.1850649350649,0.728896103896104,0.58495670995671,0.794642857142857,0.823051948051948,0.798160173160173,39
ACOMAYO,100,1,0.75,1,1,1,3
AIJA,80,1,0.9,1,0.9,0.8,10
ALTO AMAZONAS,61.0149725239239,0.663078538398232,0.668129043448737,0.919458560762908,0.927081372733547,0.993506493506493,126
AMBO,75,0.816666666666667,0.733333333333333,0.933333333333333,0.9,0.916666666666667,31
ANDAHUAYLAS,65.9354747816286,0.940236686390533,0.813989856297549,0.922527472527473,0.919611158072697,0.899866159481544,94
ANGARAES,72.5,0.975,0.825,0.925,0.95,0.95,24
ANTA,86.1111111111111,0.984848484848485,0.818181818181818,0.886363636363636,0.734848484848485,0.775252525252525,23
ANTABAMBA,83.3333333333333,0.555555555555556,0.833333333333333,0.888888888888889,1,0.888888888888889,8
ANTONIO RAYMONDI,33.3333333333333,1,1,1,1,1,3
AREQUIPA,89.0861538916721,0.907081239029633,0.697767910898086,0.907612244357335,0.816904247574736,0.830580097182572,277
ASCOPE,63.1757966344433,0.751521661296097,0.672574292875045,0.977443609022556,0.843537414965986,0.764411027568922,49
ASUNCION,100,1,1,1,0,0,1
ATALAYA,58.5500515995872,0.995098039215686,0.599948400412797,0.968627450980392,0.937409700722394,1,88
AYABACA,84.8739495798319,0.854516806722689,0.924159663865546,0.942647058823529,0.992647058823529,0.860294117647059,61
AYMARAES,70.8333333333333,1,0.916666666666667,1,1,0.75,8
AZANGARO,92.3809523809524,0.971428571428571,0.614285714285714,0.971428571428571,1,0.728571428571429,18
BAGUA,86.3515406162465,0.790756302521008,0.844257703081233,0.957492997198879,0.955042016806723,0.851470588235294,119
BARRANCA,80.3787878787879,0.898787878787879,0.765757575757576,0.975,0.931818181818182,0.963636363636364,48
BELLAVISTA,69.8888888888889,0.75,0.745,0.955,0.975,0.975,38
BOLIVAR,0,0,1,1,1,1,1
BOLOGNESI,77.0833333333334,1,0.833333333333333,0.625,1,0.833333333333333,14
BONGARA,100,1,0.9375,0.8375,0.95,0.9375,21
CAJABAMBA,79.2207792207792,0.863636363636364,0.954545454545455,0.954545454545455,0.792207792207792,0.818181818181818,18
CAJAMARCA,87.8165266106443,0.723893557422969,0.729075630252101,0.910609243697479,0.918641456582633,0.98858543417367,122
CAJATAMBO,100,1,0.611111111111111,0.944444444444444,1,0.944444444444444,8
CALCA,92.6666666666667,0.926666666666667,0.733333333333333,0.933333333333333,0.733333333333333,0.933333333333333,17
CALLAO,86.752739581687,0.916125335862178,0.883412180122706,0.927297033875981,0.857691543217859,0.854560481534166,322
CAMANA,89.1666666666667,0.741666666666667,0.65,0.758333333333333,0.825,0.508333333333333,26
CANAS,83.3333333333333,0.916666666666667,1,0.916666666666667,0.916666666666667,0.833333333333333,7
CANCHIS,97.5,0.866666666666667,0.808333333333333,0.975,0.875,0.675,19
CANDARAVE,100,0.666666666666667,0.666666666666667,1,0.5,0.666666666666667,4
CANGALLO,57.5,0.85,0.975,0.9,1,0.825,22
CANTA,75,0.95,0.65,0.95,0.825,0.95,12
CARABAYA,97.7777777777778,0.955555555555556,0.955555555555556,0.955555555555556,0.955555555555556,1,18
CARAVELI,92.8571428571429,0.696428571428571,0.642857142857143,0.553571428571429,0.65,0.553571428571429,24
CARHUAZ,61.1111111111111,0.555555555555556,0.388888888888889,1,0.666666666666667,1,12
CARLOS FERMIN FITZCARRALD,86.1111111111111,0.944444444444444,0.944444444444444,0.944444444444444,0.861111111111111,0.972222222222222,27
CASMA,35,0.933333333333333,0.966666666666667,0.916666666666667,0.966666666666667,0.95,31
CASTILLA,87.4285714285714,0.642857142857143,0.842857142857143,0.842857142857143,0.785714285714286,0.971428571428571,22
CASTROVIRREYNA,83.3333333333333,0.733333333333333,0.833333333333333,0.933333333333333,0.843333333333333,0.85,15
CAYLLOMA,97.6190476190476,0.815476190476191,0.758928571428571,0.970238095238095,0.889880952380952,0.764880952380952,48
CAÑETE,83.8933452168746,0.961155674390968,0.887147207367796,0.953282828282828,0.937522281639929,0.96797385620915,99
CELENDIN,96.3718820861678,0.948412698412698,1,0.904761904761905,0.964285714285714,1,33
