NOMBPROV,edu_leer,cedu_infra,cedu_equipo,cedu_ensenanza,cedu_material,cedu_partpadres,cant_edu,internet_si,internet_no,celinter_si,celinter_no,internet_total,celinter_total,CANT_LECTURA,PRACTICA_LECTURA,IDIOMA,PERS_NRO,ESTRATOSOCIO,viv_agua,viv_elec,cant_vivienda
ABANCAY,57.9166666666667,0.4625,0.625,0.845833333333333,0.95,0.8,48,104,146,169,81,250,250,205,89.7750686813187,10,3.4035885989011,52.8485576923077,100,91.302944214876,217
ACOBAMBA,71.1850649350649,0.728896103896104,0.58495670995671,0.794642857142857,0.823051948051948,0.798160173160173,39,8,92,80,20,100,100,99,73.5416666666667,10,3.51006944444444,8.88888888888889,66.8786075036075,100,95
ACOMAYO,100,1,0.75,1,1,1,3,1,32,12,21,33,33,33,26.6666666666667,10,3.6,0,100,95.8333333333333,32
AIJA,80,1,0.9,1,0.9,0.8,10,,,,,,,,,,,,100,91.6666666666667,27
ALTO AMAZONAS,61.0149725239239,0.663078538398232,0.668129043448737,0.919458560762908,0.927081372733547,0.993506493506493,126,23,68,51,40,91,91,117,70.952380952381,10,3.96904761904762,15.7142857142857,81.4024390243903,95.020325203252,140
AMBO,75,0.816666666666667,0.733333333333333,0.933333333333333,0.9,0.916666666666667,31,3,22,12,13,25,25,30,70.0956937799043,10,3.80143540669856,0,93.9393939393939,95.719696969697,86
ANDAHUAYLAS,65.9354747816286,0.940236686390533,0.813989856297549,0.922527472527473,0.919611158072697,0.899866159481544,94,65,179,128,116,244,244,184,88.4595480420908,10,3.64924002836716,20.0319130584785,98.6425339366516,96.308588212613,318
ANGARAES,72.5,0.975,0.825,0.925,0.95,0.95,24,10,76,20,66,86,86,119,42.8660049627792,10,4.15612076095947,22.5806451612903,86.1478365384615,95.7632211538462,105
ANTA,86.1111111111111,0.984848484848485,0.818181818181818,0.886363636363636,0.734848484848485,0.775252525252525,23,0,34,13,21,34,34,15,65.3846153846154,10,3.51923076923077,0,97.9310344827586,96.8103448275862,71
ANTABAMBA,83.3333333333333,0.555555555555556,0.833333333333333,0.888888888888889,1,0.888888888888889,8,,,,,,,,,,,,96.875,94.6022727272727,39
ANTONIO RAYMONDI,33.3333333333333,1,1,1,1,1,3,,,,,,,,,,,,100,71.4285714285714,7
AREQUIPA,89.0861538916721,0.907081239029633,0.697767910898086,0.907612244357335,0.816904247574736,0.830580097182572,277,262,306,400,168,568,568,525,75.9394575806205,10,3.89145890823171,30.4825289457295,90.5705096923856,99.3289239636758,940
ASCOPE,63.1757966344433,0.751521661296097,0.672574292875045,0.977443609022556,0.843537414965986,0.764411027568922,49,27,52,48,31,79,79,71,63.75,10,3.93792735042735,22.4358974358974,89.4815623076493,99.2277992277992,114
ASUNCION,100,1,1,1,0,0,1,,,,,,,,,,,,100,100,8
ATALAYA,58.5500515995872,0.995098039215686,0.599948400412797,0.968627450980392,0.937409700722394,1,88,5,59,16,48,64,64,98,83.2333833083458,10,4.11294352823588,0,91.6666666666667,90.7407407407407,66
