NOMBPROV,edu_leer,cedu_infra,cedu_equipo,cedu_ensenanza,cedu_material,cedu_partpadres,cant_edu,internet_si,internet_no,celinter_si,celinter_no,internet_total,celinter_total,tasa_internet,tasa_celinter,IDIOMA,PERS_NRO,ESTRATOSOCIO,leen_si,leen_no,leen_total,tasa_leer,agua_si,agua_no,elec_si,elec_no,agua_total,elec_total,tasa_agua,tasa_elec
ABANCAY,57.9166666666667,0.4625,0.625,0.845833333333333,0.95,0.8,48,104,146,169,81,250,250,2.336,1.296,10,3.4035885989011,52.8485576923077,176,29,205,3.43414634146341,217,0,209,8,217,217,0,0.147465437788018
ACOBAMBA,71.1850649350649,0.728896103896104,0.58495670995671,0.794642857142857,0.823051948051948,0.798160173160173,39,8,92,80,20,100,100,3.68,0.8,10,3.51006944444444,8.88888888888889,75,24,99,3.03030303030303,67,28,95,0,95,95,1.17894736842105,0
ACOMAYO,100,1,0.75,1,1,1,3,1,32,12,21,33,33,3.87878787878788,2.54545454545455,10,3.6,0,7,26,33,0.848484848484848,32,0,31,1,32,32,0,0.125
AIJA,80,1,0.9,1,0.9,0.8,10,,,,,,,,,,,,,,,,27,0,24,3,27,27,0,0.444444444444444
ALTO AMAZONAS,61.0149725239239,0.663078538398232,0.668129043448737,0.919458560762908,0.927081372733547,0.993506493506493,126,23,68,51,40,91,91,2.98901098901099,1.75824175824176,10,3.96904761904762,15.7142857142857,87,30,117,2.97435897435897,107,33,135,5,140,140,0.942857142857143,0.142857142857143
AMBO,75,0.816666666666667,0.733333333333333,0.933333333333333,0.9,0.916666666666667,31,3,22,12,13,25,25,3.52,2.08,10,3.80143540669856,0,23,7,30,3.06666666666667,78,8,82,4,86,86,0.372093023255814,0.186046511627907
ANDAHUAYLAS,65.9354747816286,0.940236686390533,0.813989856297549,0.922527472527473,0.919611158072697,0.899866159481544,94,65,179,128,116,244,244,2.9344262295082,1.9016393442623,10,3.64924002836716,20.0319130584785,161,23,184,3.5,312,6,308,10,318,318,0.0754716981132076,0.125786163522013
ANGARAES,72.5,0.975,0.825,0.925,0.95,0.95,24,10,76,20,66,86,86,3.53488372093023,3.06976744186047,10,4.15612076095947,22.5806451612903,72,47,119,2.42016806722689,94,11,96,9,105,105,0.419047619047619,0.342857142857143
ANTA,86.1111111111111,0.984848484848485,0.818181818181818,0.886363636363636,0.734848484848485,0.775252525252525,23,0,34,13,21,34,34,4,2.47058823529412,10,3.51923076923077,0,6,9,15,1.6,68,3,69,2,71,71,0.169014084507042,0.112676056338028
ANTABAMBA,83.3333333333333,0.555555555555556,0.833333333333333,0.888888888888889,1,0.888888888888889,8,,,,,,,,,,,,,,,,38,1,37,2,39,39,0.102564102564103,0.205128205128205
ANTONIO RAYMONDI,33.3333333333333,1,1,1,1,1,3,,,,,,,,,,,,,,,,7,0,5,2,7,7,0,1.14285714285714
AREQUIPA,89.0861538916721,0.907081239029633,0.697767910898086,0.907612244357335,0.816904247574736,0.830580097182572,277,262,306,400,168,568,568,2.15492957746479,1.1830985915493,10,3.89145890823171,30.4825289457295,394,131,525,3.00190476190476,858,82,928,12,940,940,0.348936170212766,0.051063829787234
